GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME

Bahrain,02 Mar 2024, Verstappen,Red Bull Racing Honda RBPT,57,1:31:44.742
Saudi Arabia,09 Mar 2024, Verstappen,Red Bull Racing Honda RBPT,50,1:20:43.273
Australia,24 Mar 2024, Sainz,Ferrari,58,1:20:26.843
Japan,07 Apr 2024, Verstappen,Red Bull Racing Honda RBPT,53,1:54:23.566
China,21 Apr 2024, Verstappen,Red Bull Racing Honda RBPT,56,1:40:52.554
Miami,05 May 2024, Norris,McLaren Mercedes,57,1:30:49.876
Emilia-Romagna,19 May 2024, Verstappen,Red Bull Racing Honda RBPT,63,1:25:25.252
Monaco,26 May 2024, Leclerc,Ferrari,78,2:23:15.554
Canada,09 Jun 2024, Verstappen,Red Bull Racing Honda RBPT,70,1:45:47.927
Spain,23 Jun 2024, Verstappen,Red Bull Racing Honda RBPT,66,1:28:20.227
Austria,30 Jun 2024, Russell,Mercedes,71,1:24:22.798
Great Britain,07 Jul 2024, Hamilton,Mercedes,52,1:22:27.059
Hungary,21 Jul 2024, Piastri,McLaren Mercedes,70,1:38:01.989
Belgium,28 Jul 2024, Hamilton,Mercedes,44,1:19:57.566
